	t0	t1	t2	t3	t4	t5	t6
sub-06_AA_trial1	0.6717092387450825	-0.955634184636771	0.03849073787564422	0.08344154826670692	0.006321420287053025	0.5181510247677867	0.7166368311388644
sub-06_AA_trial2	0.973519500117986	0.16389757915420136	-0.9787017206370515	-0.9656742101709046	-0.5290610796700771	0.9440396772863578	0.3955539903310471
sub-06_AA_trial3	0.8842547966768436	0.9487175499753416	0.9925914223597675	-0.5517589514812089	-0.6457699643831972	-0.33861026290270596	-0.741715276469527
sub-06_UA_trial0	0.8284071051261913	0.9392318911808473	0.6208460017195699	0.7075107205127052	0.9748101108009039	0.9567721677409209	0.9997282008303938
sub-06_UA_trial1	-0.9780367661055103	0.3576249431241523	0.5469770350003177	0.9691258071793358	-0.9815296011550426	-0.8351818261251232	0.17108488552250883
sub-06_UA_trial2	-0.21617262578842888	-0.355720382066714	0.8803362122503178	0.9559232405657841	0.9746792773036932	0.9606271341046175	0.9137165699120542
sub-06_UA_trial3	0.9887770236836279	0.9992729862039837	0.9908439547407468	0.9989927548274615	0.6131971427259719	-0.9989161428835275	0.401578285423418
sub-06_UA_trial4	0.401578285423418	0.8799996621564763	0.9590335287481165	0.8828740282364979	0.7158611845625539	-0.34897500113877117	0.726860850837483
sub-07_AA_trial0	0.9488497286001836	0.9999980834699489	0.09811252242936239	0.9410255655392898	0.8286370234888348	0.9811572325666751	0.9968679752818704
sub-07_AA_trial1	0.977422158415694	0.9860601726599438	0.9969003698419288	0.9703302982488762	0.9565765874638383	0.9371698920554047	0.2637251565426499
sub-07_UA_trial0	-0.9583641214860409	-0.9221322321479604	0.9978970134924943	0.9984500886620594	0.9927889921262416	0.9758084787404937	0.8863482723941534
sub-07_UA_trial1	-0.17939645108940255	0.24245059259943333	0.6711012289070586	0.9678073380283202	0.83355969151778	-0.40715931701404645	0.9250918739741801
sub-08_AA_trial0	0.946532110720798	0.978960764543266	0.45091356561114593	0.8599563362916138	0.9399959163336242	-0.07279051326181872	0.7248165507988338
sub-08_UA_trial0	0.8766076302361104	-0.6936390590056174	-0.7007493614484026	-0.6364148781512183	-0.35034704014372986	0.9653983974091565	0.6623043399812552
sub-10_AA_trial0	0.43159939172200634	0.510248915687578	0.007893364307914664	-0.1476416066483893	0.997609549039696	0.8961983273624972	0.9018345265609911
sub-10_AA_trial1	0.8128268231467712	0.988216201156751	0.9765950789080147	0.9327410249358502	0.5743478734715451	0.6070319343125129	-0.0769303432463127
sub-10_AA_trial2	0.9895746368366178	0.9994555295027315	0.937044065818901	0.975405044117393	0.4182497499206027	-0.11361258945689363	0.21531251813289623
sub-10_AA_trial3	-0.7113812155737841	0.8998135191297804	0.912472961009883	0.9907390922919438	0.327062930083987	-0.9834258612403848	-0.9897967569339002
sub-10_AA_trial4	-0.2776779182985074	-0.6565450591971763	0.08766470857537094	0.21297893968889003	-0.37627144682376773	0.17118799605234064	0.9817502885973828
sub-10_UA_trial0	0.879551648136929	0.7378904110173821	0.9023576587299251	0.946568110833548	0.3139414821104473	0.8353191612706248	0.5458702330857629
sub-10_UA_trial1	-0.27813424886399213	-0.006134274825248266	-0.9083294624071441	-0.9927956930788142	-0.5307198786210325	0.08589317500516194	0.8406544042932879
sub-10_UA_trial2	-0.7027400089422695	-0.8866118520824093	-0.9022091145093093	-0.358020204024213	0.7568382504003084	0.4137560887405436	-0.9290880809169713
sub-10_UA_trial3	0.07202978692551995	0.7799897210355345	0.9329585773387821	0.9970933852403113	0.9978839519263427	0.34338210159147964	-0.996186593153915
sub-12_AA_trial0	0.9552535538391439	0.9989576311357671	0.9851151388340025	0.9939598017060172	0.5630094665056744	0.9947177021965216	0.9742721872785856
sub-12_AA_trial1	-0.027819417215143402	-0.21806121055859864	0.501133705438934	0.7057708783817922	0.007860728899894589	0.9112214300887155	0.9673171968620098
sub-12_AA_trial2	0.8614844604448552	0.9956232994604252	0.9871785015531985	-0.9886880246962874	0.9996810348625689	0.9799372324833457	0.9516806749563226
sub-12_AA_trial3	0.7777367974091046	0.8181928853568946	0.7754105468667084	0.9950507966004944	0.2648469072588901	0.19067657958092432	-0.8475987973971263
sub-12_UA_trial0	0.944527481643718	0.8024553926798709	0.36524177641325106	0.2405741877229513	-0.6759082633947755	0.9712386998979397	0.15542895713150565
sub-12_UA_trial1	0.9225933363588884	0.3609021038531637	0.9998951615954118	0.9945803947542889	-0.03939562482793061	-0.05821790966316196	-0.9993426936474052
