	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16
sub-01_UA_trial4	0.9029908595021549	0.9455573162917268	0.9460249577728252	0.9078292437742287	0.8711787893187802	0.8999227434330462	0.6662033759135657	0.4856559821639793	0.22054018450154325	0.6171968141219005	0.5178881615545053	0.7091670501117856	0.6916347958876857	0.8228528589649345	0.8227832818917546	0.845253341684666	0.8118478153625873
sub-01_UA_trial5	0.6528371594637286	0.5720666107386211	0.18345173128741465	0.28791468340074977	0.3266418453935201	0.5236999849844707	0.49410802282052557	0.41943418239349056	0.2709702173131678	0.3498123865512919	0.6197360424376852	0.5375166212897319	0.5157046267782617	0.33251753768968906	0.2266034181328248	0.21642581583727458	0.19421767685178992
sub-02_AA_trial0	-0.023603871631064484	0.05332373601417719	-0.03008286632024298	-0.559243857247955	0.46780551395783315	0.5214987585534607	0.4638514868819099	0.5153730813843294	0.5600715728962306	0.7445451930612967	0.8021590528125085	0.8411779776800747	0.7533582272237559	0.8706377196373671	0.7862058432671507	0.6160543221566842	0.6048947476792027
sub-03_AA_trial0	-0.24102631025335905	-0.08884507596970187	0.14450908975151483	0.39045435171239434	0.6515557543832216	0.782922821236479	0.760179526533479	0.8632473337041319	0.8649962196701017	0.842063472074341	0.8606332049618476	0.9868991899414296	0.9746231822106508	0.9352007240993104	0.7869007872302005	0.79302926866694	0.5012382322395251
sub-03_AA_trial1	-0.12501763452166328	0.09601621426066662	0.19081700660762768	0.19252219246783414	0.2527313165727448	0.581106526714183	0.3258362499381749	0.2483469243784098	0.5815744580551706	0.5962738556343944	0.21037703942721833	0.10303608871971534	0.17608410052242549	0.09037474533627173	0.13157426115501933	0.3531993378741586	0.41698417352952244
sub-03_AA_trial2	0.6782686967585586	0.8826139390433471	0.7902258520544723	0.5528226849013851	0.3360979039196501	0.24960907098558263	0.26634210284386706	0.4375367130180066	0.06021169206023769	0.4006937806370173	0.40644729686242353	0.6145448260854046	0.43762592468259603	0.49458091333832677	0.3020976291774166	0.1311637825424115	0.24596384784922204
sub-03_AA_trial3	0.6734620077245657	0.4003997572393561	0.4336774316970997	0.2411341396481614	0.2689953961251837	0.5062980047581515	0.6775975405696476	0.6099858382504324	0.48876314667575843	0.22276348675017754	0.3263497800570785	0.7345793773424998	0.8311596349830732	0.8158373108567597	0.6196488261500318	0.4972644863583011	-0.07334232543971099
sub-03_AA_trial4	-0.1582602703276277	-0.0964611798801669	0.07223502669446488	0.3304440597264891	0.5205578654056753	0.5041845047201307	0.5146224334374142	0.4228355936717797	0.5716191312509386	0.44917271426135685	0.3541742072597286	-0.16749250872089586	-0.3804747751958903	-0.26243923130820845	0.1622289513856929	0.2645595989011639	0.4304963945296133
sub-03_AA_trial5	0.3931043090206053	0.5764928774568138	0.3805715212324436	0.3270925828527535	0.2182754566367634	0.48690069763281285	0.44758213750920145	0.5883690631349527	0.7795492670806211	0.6714601639864126	0.6314105349208087	0.6757401005284722	0.7217216175564264	0.6863238826579525	0.6927224866856839	0.663407556167917	0.8815180089585529
sub-03_UA_trial0	0.7806032843230624	0.7596367056523752	0.7402868669492435	0.6312769307306658	0.8365658672279648	0.8453288091810601	0.9123050850516892	0.9130102282942845	0.9044720028620716	0.8894528021893021	0.600906225283256	0.18537567275357128	-0.1953626329752813	-0.19754653852347154	-0.32528789466959795	0.15635252770384336	0.39020892200687735
sub-03_UA_trial1	0.7706648968436314	0.7560816373860667	0.8223693436696189	0.788158441325765	0.7113130407409461	0.42822019134016004	-0.011816615660691018	0.05259649394435849	-0.055381686997522474	-0.0884456198593021	-0.26643099024570677	-0.3600168534500047	-0.35751688076700605	-0.14700094932168015	0.07511884015083166	0.24680156483331758	0.5462210893939277
sub-03_UA_trial2	0.013479573541727482	0.33513955000510043	0.28391580231601066	0.27369892747986246	0.33058742920793416	0.5031316474542806	0.43163758241253736	0.6484919776849702	0.7368609561220205	0.7954608953524115	0.7818794173456188	0.7017839847256941	0.8188972147049235	0.5725382822705983	0.5651325417898859	0.3016701330046075	0.03348873121482537
sub-03_UA_trial3	0.6381851020406183	0.3324431241424074	0.01936307262446709	-0.35824620866174967	0.18874901237150388	0.35367633158211664	0.22379440976277531	0.48618735084460096	0.35385760032406344	0.40687045728479654	0.4807273436745562	0.606148894656755	0.05449082124508674	0.12334500529946121	0.13502109008754412	-0.34248311480224697	-0.25081217044431947
sub-03_UA_trial4	0.386466290558869	0.3951005581850979	0.4488490658147179	0.3478931776599207	0.270147601109672	0.3462248601584153	0.41636800970200916	0.462488227477448	0.5331363289345808	0.3249408812336419	0.5588467181696964	0.6120275859699351	0.43598882148866314	0.41972238209418816	0.27592637498214195	0.479925004380453	0.5388570984103375
sub-03_UA_trial5	0.6831704411322823	0.7077086594898109	0.7601917960151899	0.8313745238445631	0.7378416272184498	0.28266658598374506	-0.26791239817598905	-0.14615483568564655	-0.043820532138203826	-0.1031634346125128	-0.3123042069458789	-0.42096673578649896	-0.41893654731551544	-0.34339000707463446	0.07570012792480788	0.047440967400989464	0.3732919513631328
