	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12
sub-06_AA_trial6	0.5788531207637629	0.687691972424763	0.5546162513364186	0.6733348228873125	0.5675475418606615	0.06112838135215217	0.2723537789357817	0.18808233144289369	-0.1740294569728148	0.08478869949311435	0.3952786345438462	0.6928263789303627	0.8406040614640883
sub-06_UA_trial0	0.5986651178682307	0.2887119881637235	-0.322793112726762	-0.8193668389356836	0.22983195898441677	0.6787459819730656	0.7867923835730964	0.7226678788161182	0.701474386455643	0.22549851330057014	0.3837983397983627	0.786378678271349	0.7754238628097392
sub-06_UA_trial1	0.5444207008748554	0.5010878733401077	0.7554217500120555	0.8643622383234962	0.9114760063890521	0.9161923800975184	0.7123904836319938	0.515745491855571	-0.16917692252638078	-0.2385686943486537	0.15629930502296696	0.13903508049851834	0.5621845979828435
sub-06_UA_trial2	0.81612017595856	0.8649504086312397	0.8312611089686829	0.43913774207731354	0.5268428958873327	0.6062434922087876	0.3449077506624427	0.3634072237830038	-0.755560607404694	-0.38856527796766127	0.3986234929559869	0.721675327506377	0.44155380896489704
sub-06_UA_trial3	0.721675327506377	0.44155380896489704	0.3991616330807743	0.5621240294977856	0.3239859248964574	-0.04653043513975216	0.420988274756768	0.8919598814497218	0.9252426158293913	0.882790576671494	0.8793619800081035	0.6026536715714474	0.24829974154445783
sub-06_UA_trial4	0.956383829357936	0.8537402569449996	0.7550562723774291	0.7292149384430137	0.5157377844593891	-0.0261435612399691	0.2688551687095212	0.27312642558803313	0.3394818167788301	0.4136353061901302	0.5323433688124702	0.7302339482431358	0.6568518205761594
sub-08_AA_trial0	0.17187364317568526	-0.4835135895072042	-0.17390408290768905	0.14465341683910043	0.5725070561906783	-0.11446851688015218	0.27670367941018315	-0.9594562334011791	-0.7759209769067182	-0.75201161609018	-0.6156476594626259	-0.5263645117632177	-0.3398426052680001
sub-08_UA_trial0	0.20339163378287087	0.7494490264439639	0.7248912173267269	0.8954486460781231	0.8483586542481806	0.8493122244088885	0.36793018130489263	0.18978870933777625	0.13662239464184223	0.17966820263786434	0.05197363525969646	-0.22053347363801037	-0.22093667393775748
sub-10_AA_trial0	0.9630635823272832	0.9431030270941193	0.9782712458572627	0.7745982562094587	0.18851655555716584	0.01668507793491251	0.2758009442636981	0.3585692523804642	0.329781926183064	0.8644123599303222	0.8215236435629583	0.6226445656469467	0.7500594634612617
sub-10_AA_trial1	0.5920711496867535	0.6231059974409716	0.788634163129988	0.7766744615208874	0.8821529504478887	0.6567616042353067	0.4343654196618843	0.5094819587605076	0.6409075622552066	0.4965821063223478	0.5232364435956687	0.5690984664655433	0.6566813100098381
sub-10_AA_trial2	0.6905299290927844	0.8119411926112127	0.7901201594802234	0.514552187839448	0.4564810090359143	0.2745826906412867	0.6195729913066145	0.6500070031739319	0.8166886452813131	0.9583588528416259	0.947737950272139	0.9491835529096492	0.8750009494497896
sub-10_AA_trial3	0.06228291942464446	-0.2752286491749156	-0.3760539569460987	0.3378213323918831	0.516583699407426	0.7208295897913346	0.6320314051177038	0.3857894818346208	0.7860556391255764	0.7189401985654338	0.5819504433588082	0.7510003788728411	0.7794710541381156
sub-10_UA_trial0	0.7351706383924175	0.8558523835975446	0.7017900144362602	0.7101524496633932	0.7633935063285481	0.9003810316126453	0.7909186673870334	0.9194230124437419	0.9397068036557268	0.9426159065087065	0.8701099381844709	0.9046907744989774	0.8195765827573441
sub-10_UA_trial1	0.6244019730475849	0.8621212882282776	0.8270342193764781	0.7176522162096429	0.6917560338495734	-0.13553078643329547	0.649024318819589	0.9261257922131004	0.9199981271016251	0.9144245330558681	0.8353710895120016	0.7667620726527282	0.7811754483108007
sub-10_UA_trial2	0.22799157697376102	0.2778749449583943	0.629938139892825	0.2418119941057768	0.602504022861837	0.7537521164335385	0.8977838343461992	0.9541982051606908	0.888482058580105	0.8759391861899911	0.72908078156475	0.8205529674971865	0.9377748606902775
sub-10_UA_trial3	0.6353006150300774	0.12141779618574497	0.2113797276839373	-0.34098295447229743	-0.06224737247516741	0.6152656704158175	0.7150478958941792	0.7043715806164996	0.5949137310813393	0.8348090724297502	0.8363301750686358	0.883749780346472	0.8640983473948691
sub-11_AA_trial0	0.9345817899382397	0.842669258852908	0.7410840124353539	0.7221003685467334	0.8273695661372743	0.9191660625526937	0.8003710089610366	0.5439821227123235	0.2994341177218467	0.23006052063519755	0.39573068052817645	0.1504575078600928	0.44082289348976356
sub-11_AA_trial1	0.15800593260453577	0.32876774700846356	0.24143133738452321	0.7832557768552276	0.6624113208396673	0.3544878002883798	0.5653286362592057	0.6136625991534311	0.5718559408302006	0.5669250782502763	0.7238088874307081	0.6327926159096143	0.7052819299480257
sub-11_AA_trial2	0.6951503774115019	0.7655014710882481	0.8768221809150177	0.7209899094004684	0.7380133163582193	0.7257187059077104	0.5345780637133711	0.48860626128280515	0.5735633875853572	0.802756037895377	0.883361672113391	0.8795041837995323	0.8859715063686586
sub-11_AA_trial3	0.7707389067667424	0.6746525317510659	0.3499873764488954	0.4799928764906627	0.5201387101637389	0.5158607008696711	0.736731986746194	0.5564529831272053	0.6687640429504585	0.4182581205488314	0.38543025015480503	0.2570616963595472	0.2977811493456155
sub-11_AA_trial4	0.6699192489026049	0.5086010340683217	0.6832648446547642	0.8172114804966409	0.7465475467734625	0.25224752621030694	0.22118391451995442	0.5903427066301633	0.5719204152988581	0.8013082263894037	0.4977681591119368	0.4827588219726033	0.7483631778590971
sub-11_AA_trial5	0.8595792426313088	0.8999795862172034	0.8935958112019168	0.43657641655345847	0.219072791521933	0.7837780127083456	0.7522057732044543	0.5686603109473003	0.44566536938214535	0.2966663579117712	0.644505116522769	0.6168569129987561	0.896493111373948
sub-11_AA_trial6	-0.15461491235169253	0.38465013241782414	0.15912518420570962	0.42328265420020533	0.7703274994977468	0.28438266380674493	0.0511239064252326	0.2777143936171252	-0.06148880542591613	0.47890282117912164	0.4650100103779633	0.7125011005372224	0.5446983527878834
sub-11_UA_trial0	0.5952618365412775	0.6473724017959966	0.7081156594193385	0.8572926476109232	0.9331409630963351	0.9169704491225726	0.7342911980461105	0.5862781076326683	0.77944843111801	0.6318584441102851	0.7116404998032745	0.742725041024772	0.7560035969379665
sub-11_UA_trial1	0.6762020124691537	0.8168808450698205	0.7662566713877134	0.48309981104202965	0.41765596338515776	-0.08296790890551087	-0.01249610112494622	0.1241808266880124	0.021523499293581518	0.4905086431068233	0.5882868155256334	0.9616162587286242	0.7622531651794765
sub-11_UA_trial2	0.359032003310887	0.3437401204590701	0.2694836215464095	0.7589395892260558	0.6569159682988668	0.7398711691372165	0.6895668682435658	0.48672965986802613	0.6227136243987245	0.6914309572554646	0.8782947420701699	0.7935546765863323	0.8832159271365294
sub-11_UA_trial3	0.9290943495182309	0.9108522393320849	0.8803201502787827	0.7077233499941846	0.8383504173022556	0.9336971180519005	0.9264386755874349	0.9094820740310203	0.9230112854658772	0.9367500589067191	0.8670190790537998	0.8332747629537143	0.6377152705297788
sub-11_UA_trial4	0.2489755901726611	-0.5042957496807375	-0.35839183015212905	0.33371114020700887	0.7699450617822399	0.7196485791684271	0.7426355518577197	0.729237144125317	0.6670483723787379	0.6989153752560224	0.40675246415128835	0.3154907944254306	0.09486102093998684
sub-11_UA_trial5	-0.4013625560517578	0.6050588485010285	0.5951629088289803	0.5687713388553778	0.5417329018512982	0.464199251238003	0.6888244972838855	0.9192666726928547	0.9134346722857518	0.7987025944495654	0.8945571520709681	0.6955250724477992	0.5348227371232351
sub-11_UA_trial6	0.8817947062123248	0.837866744123608	0.7699913021212802	0.734361943078644	0.8023877033172504	0.6767790092960007	0.5792517611526653	0.38389688813600525	0.07729247099128518	-0.1965414826205752	0.2981702049438777	0.3902158375501439	0.22968943809902473
sub-12_AA_trial0	0.9347615618097694	0.30430489291928825	0.04089855088362004	0.3272692843739464	0.8059732616152143	0.8210743085418739	0.5538679549598767	-0.3073620956594258	-0.3644039915420859	-0.8797117603147419	0.12315533267811424	0.44751437351503487	0.49456647152393557
sub-12_AA_trial1	0.9385671232544999	0.8817736874155815	0.8645843814831576	-0.05170119920033377	0.5696022594516524	0.7962002596642896	0.8172185246186427	0.728793552052621	0.5148222263957679	-0.4152194027118969	0.6795200025166275	0.5899741601056501	0.5853998332306396
sub-12_AA_trial2	0.7876615199921125	0.6565013198797773	0.5884417158768344	0.27237210335339795	0.39010170691689555	0.7259416829836294	0.682138941127352	0.7368266956002086	0.4454079538477693	0.7852079896383795	0.7432439067039307	0.4211951358346387	0.5310663871788257
sub-12_AA_trial3	0.8714441028168506	0.9529129285487435	0.8358826422928036	0.6155745780693903	0.38026903672502094	0.9533567504198027	0.9736467973486198	0.9863044782209712	0.9911362389373076	0.9633087140898305	0.9673194947216637	0.9447813266882914	0.6768181746473458
sub-12_UA_trial0	0.5000126683263916	0.7588875396624452	0.7438900617630175	0.9322900401509365	0.9318205392341433	0.9428138347219116	0.9061759480108854	0.9557422099303373	0.9479375764462784	0.9330633889388978	0.870447999799059	0.851209767559268	0.9434812691541635
