	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16
sub-07_UA_trial0	0.32258367662576237	0.19322757669957358	0.42310996004555385	0.8422394576915444	0.7916464847567631	0.7904241412393402	0.8115284379652086	0.8120307098784839	0.9121713838915594	0.8446630002430392	0.8341618051788071	0.6965815439102835	0.5143753432098742	0.4072278625745577	0.5515347707940558	0.4826101381842831	0.09167928723434532
sub-07_UA_trial1	0.39775237697554455	0.5474332043961335	0.7551328722955438	0.5546172967995542	0.43455667501412437	0.38873710463450273	0.45031777509250104	0.583600180352098	0.5498135309595104	0.5836584487576292	0.5014413993888498	0.5403363020703691	0.5231385727494222	0.6605325357412777	0.6579192435882729	0.6937618036165181	0.8109353363670273
sub-07_UA_trial2	-0.3898043905294119	-0.2941694482549882	-0.13170248543250562	-0.2934034057558677	-0.3552330318333919	-0.2929037386168582	0.38913843986348745	0.3676825394091524	0.6724010444760113	0.7446460186885053	0.7473903165288872	0.5540475281055942	0.5056032777317376	0.30529258446383317	0.30827202779479135	0.5175216056722914	0.3530957843508851
sub-07_UA_trial3	0.6116150698564475	0.5390921776830868	0.2651359459371808	0.10113730125791062	-0.14803893440358498	0.08385329994090986	0.1976360029378268	0.3291688744731368	0.27153065783948477	0.22528722146853375	0.09659048816221565	0.21999484647712678	0.39443332897986966	0.2727044808408734	0.33105947066857566	0.8431222542507627	0.8400934849106394
sub-07_UA_trial4	-0.270263616834725	-0.3392503118323443	-0.4122334136778571	0.18691088742551684	0.46874645968293016	0.5975764866780445	0.5755009286790045	0.3552656249723326	0.2779111699351875	0.43714275761696614	0.02893023714109812	0.0011126605986551367	0.05576701271225201	-0.1385031681524451	0.30095322590201445	0.5754961592135531	0.6385337231150185
sub-07_UA_trial5	0.7890476535162646	0.6996830984591793	0.28841153470539105	0.1677163687090574	0.21021187365353325	0.3983925541776003	0.8637148323509989	0.864236367629778	0.9011874975527636	0.8450617547380027	0.7039667767264616	0.5977878691856026	0.03705322954924539	-0.281881846234959	-0.03372328879147028	-0.05718443980564907	-0.4872224292634329
sub-07_UA_trial6	0.1465571643273247	0.5114181758101699	0.6048270583612538	0.5725282849243691	0.6535773480345771	0.6758956981678014	0.5123681253892022	0.6372521270882391	0.6344209427779677	0.6600472226368459	0.5237338723394372	0.43994404155087563	0.013543182357956221	0.10432998118050968	0.1028008039150949	0.24215719429599442	0.2670674410892115
sub-08_AA_trial0	0.8485108025441215	0.8533653913630296	0.7706445799953188	0.754419323152078	0.7287814311218576	0.5382469015411061	0.3611055560555263	0.4880301506369885	0.66090131177379	0.7170528733897206	0.7513626780283691	0.6270185041111662	0.35631296405011725	0.28488646352252733	-0.07913946818739592	-0.2491623987910136	-0.059241833625038764
sub-08_AA_trial1	0.11596720976559395	0.22968004034592202	0.11203290455974414	0.28527861629461304	0.23814358183109097	0.019628666750596158	-0.06529074885669345	0.40807646528178576	0.7451927307864005	0.8510301080245922	0.8862145465145045	0.8169727524952953	0.857259946337271	0.8405657314853363	0.4260356314714053	0.5818993328725051	0.39793226926265657
sub-08_AA_trial2	0.5818993328725051	0.39793226926265657	0.4846908598011904	0.45265663778522164	0.46349452490296666	0.4970435167513975	0.034357375492501105	-0.0427446088315025	0.4719791292482128	0.5513336145489486	0.4460658960909672	0.5836851348551483	0.6213294618374087	0.6755228156113064	0.6536849650696192	0.6446973716280554	0.3918624954673151
sub-08_AA_trial3	0.8542522021816984	0.8974173134784367	0.7266719647279967	0.540151657001947	-0.09314914305161424	0.7093695725596172	0.6895760750753993	0.8764887320087578	0.9202894021618373	0.8581772387944047	0.8526628064524041	0.8173961128127243	0.8687687527143417	0.9016172858662961	0.8933590014292749	0.8932887713462159	0.7514615252783935
sub-08_AA_trial4	0.3412796462714981	0.423078788818298	0.6940919716311726	0.6872563219463557	0.6883258897314073	0.8645533073543215	0.6659977657021457	0.6527023196569515	0.6514478128172237	0.39882105220591885	0.43267908407262473	0.03718527930965812	0.20585755313442028	0.49298540007422254	0.4308530879254586	0.20623535692388567	0.4897518659402491
sub-08_AA_trial5	0.533656350652246	0.5896178064308288	0.5824684460229742	0.5457297252277687	0.7113241031017258	0.8725549231754074	0.7830434579314932	0.7563745891437792	0.8186331583691937	0.8326131829812338	0.800952771559989	0.8460582593931564	0.8867727753986194	0.8902110458381695	0.8751996032401621	0.8638501392014981	0.6787842360018055
sub-08_AA_trial6	0.6859809659194462	0.8128065711689983	0.8730463696259109	0.9506110573063422	0.9575615495889092	0.947337190317031	0.893045627486689	0.6540229614866117	0.6740808624727515	0.6975156808584715	0.809076450618478	0.6947855272397909	0.7407035152925638	0.6978617963492667	0.6090267701081723	0.6885894304328742	0.6801600146865117
sub-08_AA_trial7	0.4571488819076112	0.26062665348161623	0.5456721910768448	0.5477671182254155	0.25569215947890384	-0.04411586740560375	-0.01855631887428335	0.6242495237667707	0.3337997260514673	0.35928220576596154	0.3185752988099957	0.24740496625076513	0.6553350249969487	0.7546389109637199	0.7481586016629294	0.9043622727790178	0.9007024039921891
sub-08_UA_trial0	0.8267878627464337	0.7989814290718497	0.7908208541854596	0.7230905976871013	0.8811101581884846	0.8727880613935572	0.891394360284082	0.9498069938247606	0.9151945531124762	0.8798709404376828	0.785800324540805	0.8222145373162155	0.8322739764710965	0.9313369295483652	0.9375129094613701	0.9485529171316871	0.9187154149171948
sub-08_UA_trial1	0.630852063303551	0.4535553763062766	0.7474379409974349	0.818668792673792	0.8620570225467173	0.5960948535142666	0.8709447498172102	0.8890861909625893	0.9307902265623339	0.9027097632640402	0.8354128841797741	0.8089081241417542	0.7805287757585976	0.8817318888505107	0.8811149177098391	0.9173967128374466	0.8184766539537015
sub-08_UA_trial2	0.9173967128374466	0.8184766539537015	0.8752037959089787	0.7926577544012974	0.7828355400308062	0.734825981812524	0.7785372227401275	0.5373362750147365	0.38174120383902227	0.133454653870477	0.07963287647010613	0.008893486124394766	0.05231656616965444	0.12191085487919948	-0.2853766449632058	0.08196682749226349	0.06213441452767981
sub-08_UA_trial3	0.4221793699230815	0.7360160290176809	0.44556978873106784	0.2879770267120014	0.63355500646112	0.601531027939877	0.38976370221636975	0.2944876092339736	0.267888675316497	0.39896854691684386	0.6156762424213286	0.7763388943047878	0.7461390169101693	0.7857124565671644	0.7914588601098086	0.5761976526548426	0.5484447641763502
sub-08_UA_trial4	-0.6938192931292279	-0.5522581573849225	-0.3775352205343595	-0.6409697359259116	-0.19048446759482404	0.011295875732234022	0.12339281470323417	0.12852637315136337	0.7009189417729299	0.6986708441599994	0.9222491001825409	0.9132343637081161	0.8905691652965776	0.8118981414318781	0.6679854123137955	0.4302711695553	0.6176722047081012
