	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24
sub-10_AA_trial2	0.20730868927866122	0.12247078943174017	0.14104575897766253	0.33494697558853065	0.36200721833645283	0.422543316674268	0.5168032409781814	0.34537370460167466	0.4167881969770523	0.43667120209031246	0.4417307389264541	0.7256297205235052	0.7693143250940423	0.6545242641436247	0.7404254312971253	0.6499522587918664	0.6383700840560046	0.49774082813830833	0.4874487139262	0.5480289723834233	0.5380515456963924	0.5105160640711183	0.4631219438838744	0.5389248530722782	0.5118957909021127
sub-10_AA_trial3	0.7917708606722003	0.7778885648003315	0.5469615281521912	0.27869457743216364	0.28733116755262517	0.2817375304473376	0.2734455782488721	0.23705789681825393	0.36670014189933753	0.03750041033857958	0.22801662505895093	0.23021871771988137	0.30040343984847345	0.1327707408387388	0.41277267387444444	0.4630397670890849	0.4620659847091839	0.3898446246297004	0.42946620422759807	0.4664609665141141	0.5686521450314518	0.7970788358496823	0.7711394324894989	0.6328397523172804	0.6860156021705289
sub-10_AA_trial4	0.5437558133613866	0.6504503353688149	0.6456851814839483	0.7120349582948348	0.6760915617900665	0.4032803020561199	0.41445095164679996	0.40060607396744635	0.36219397096935035	0.3322425445918011	0.4228889199157772	0.20560983310269745	0.254536405692364	-0.0027568986591732948	0.1465689442096615	0.33926046317876973	0.29950370021349304	0.5174344051744902	0.4536574253630299	0.6009077977341485	0.5867729384543978	0.5744577903437681	0.5649091218097183	0.5846506876197815	0.5886724429499413
sub-10_AA_trial5	0.7583447857766886	0.8218265512981755	0.8163997257313027	0.8348909573723385	0.8581315451985901	0.8922936181834558	0.8901370198838456	0.9060642173921984	0.927243667404918	0.8617204617135886	0.7520919969402784	0.7620476227137957	0.7672749073467194	0.7331937444179615	0.6994992896928257	0.7875447853858834	0.7978123072984433	0.8331329656342453	0.80488650829823	0.708823657642393	0.7210398748610696	0.7286034709586944	0.846215172696612	0.8144431603837701	0.8846216331966961
sub-10_UA_trial0	0.41169565476085607	0.3285030176381076	0.5285467630421109	0.5138287065360052	0.6587019410669015	0.850093736054997	0.8080681405552118	0.7768651573411631	0.7490825268792878	0.7225960035127306	0.6883203861612363	0.6212138634708304	0.6650562373417253	0.7526809297404625	0.7663646144199376	0.7990602923944546	0.870536517513529	0.7956683575248027	0.7345981033194531	0.7272300118258891	0.5388548463045071	0.3235199533079967	0.42555162296261917	0.41468254007833005	0.3730261923767659
sub-10_UA_trial1	0.9266049169910706	0.8557274168802097	0.7828112743106145	0.750128038547606	0.7804127845623621	0.7768191536985705	0.6287772720994029	0.6907117986106928	0.6680449897762286	0.6365084587731128	0.6197784108814267	0.6868946810017867	0.7100117717923546	0.7790984916631779	0.7996289162069001	0.8198585958060362	0.6481846640836222	0.601638769210603	0.6076503301864968	0.701703341856187	0.7702444701612564	0.7717025015776029	0.6976675153628037	0.6697166264054984	0.6890811219564318
sub-10_UA_trial2	0.687914818712209	0.619683155678473	0.6921742237909739	0.7025292777678567	0.8554587549971245	0.8576680248716279	0.9054742398917949	0.8626691227509704	0.8595551523022258	0.7158659019601715	0.7817071879577915	0.675626064290411	0.422310496579905	0.476834109115671	0.527386284532351	0.46740585842536025	0.18261438903888322	0.30246753294901124	0.08967389419351889	0.21273681244574089	0.16988970431198436	0.023257052966190885	-0.11062597815684397	0.33087839454320245	0.40132588005462444
sub-10_UA_trial3	-0.07593395056818887	0.031463043822620045	0.013597727649751482	0.24620660736909342	0.1970572686768589	0.2236356421657427	0.36371349780898016	0.3130531954479211	0.23813608727956578	0.2699998177721802	0.15931299555337067	0.20847963677975903	0.29203255583606175	0.30445301830846877	0.45581659073731656	0.3985332024758416	0.6707589565798868	0.8111344826603326	0.8021125072500098	0.8097965546496059	0.6645075802012388	0.733850596049644	0.5753331175610823	0.5600867879828647	0.5437355714215154
sub-10_UA_trial4	0.7160935800136978	0.5104435550214367	0.3918524321232557	0.8104269362470222	0.8414938878125708	0.857486682667209	0.8558086488599332	0.8526738742499095	0.8434521608320352	0.7305396957932845	0.6857889911711479	0.6658133570575488	0.5535815910920928	0.34962055250138907	0.2341305886611191	0.1530568201262085	0.21612294210190408	0.6479718538824671	0.7385256323497694	0.7498328272015028	0.7499803042981437	0.8648565982909016	0.8977135428637649	0.8732626572368982	0.8985659205255228
sub-10_UA_trial5	0.8999819854946571	0.8876013503415007	0.8158402092735438	0.7252656379067242	0.33581929194429233	0.4055607394216269	0.5272623893176537	0.602578174052009	0.637690292855555	0.5568358021664958	0.5343647192251605	0.5989245661954663	0.8159355535899141	0.7459343342268686	0.5954921517666528	0.5867289646711811	0.5782856374560172	0.6858180323193297	0.8083854647563664	0.8189119926976158	0.8191018330438887	0.7911381591171758	0.7642248060962593	0.7659626236975849	0.755052323540316
