	t0	t1	t2	t3	t4	t5	t6
sub-08_UA_trial7	0.40247788714251964	0.7408128169240965	-0.5534260864644717	0.7649348713326004	0.9982777166655901	0.8927382280621857	0.9953810839622845
sub-10_AA_trial0	0.9986277750963186	0.7688887057627443	0.9290819804147229	0.43159939172200634	0.510248915687578	0.007893364307914664	-0.1476416066483893
sub-10_AA_trial1	0.9327410249358502	0.5743478734715451	0.6070319343125129	-0.0769303432463127	0.9438653271264514	0.80879648196211	-0.7943485762507184
sub-10_AA_trial2	-0.21619752819024965	-0.9360924049761381	0.19040230470352829	0.9912804230308367	0.9895746368366178	0.9994555295027315	0.937044065818901
sub-10_AA_trial3	0.21531251813289623	0.8020994281215647	0.38425809906298103	0.7734087419004716	0.9235679820555001	-0.5362351862841397	-0.7113812155737841
sub-10_AA_trial4	-0.8645993170485274	0.27663452368578667	0.9872178668242996	0.9749596735471255	0.8274295485627541	0.9937641901896475	0.8533637375563582
sub-10_AA_trial5	0.8014741386747969	0.33844567219394633	0.1631220342415995	0.015461970916773553	-0.9964488801266524	0.3924638762308108	-0.16812006547812916
sub-10_AA_trial6	0.9494918620809052	0.3903931590012848	0.9782666297187147	0.9356532012869869	0.8466190167923645	-0.37938703755456676	-0.5482607937011351
sub-10_AA_trial7	-0.9942935887836859	-0.09547603923094	-0.3379862777133106	-0.2909150798649849	-0.42614750703849724	-0.9454630577086564	-0.9048655910164404
sub-10_UA_trial0	0.7456260048445177	0.9702859799747465	0.9946808500220575	0.879551648136929	0.7378904110173821	0.9023576587299251	0.946568110833548
sub-10_UA_trial1	0.3139414821104473	0.8353191612706248	0.5458702330857629	0.9093201760780987	0.9453876186407697	0.7989835901353209	0.9718587670104543
sub-10_UA_trial2	-0.5959809251625273	-0.3347217413284955	0.2611512005872299	0.1000364981055576	0.7890200409961583	-0.44502936635310547	0.9927738777520686
sub-10_UA_trial3	0.9353766667006631	0.4286129052820903	-0.9311073133130703	-0.9889324123254667	-0.27813424886399213	-0.006134274825248266	-0.9083294624071441
sub-10_UA_trial4	0.8406544042932879	0.980467848315603	0.9655151968315938	-0.5259069645218651	-0.5166600056388099	-0.31596655561766845	-0.9552979431859685
sub-10_UA_trial5	0.4022881930782527	-0.9623087353112092	0.9575111678861816	0.2980092288302534	0.27304173683555055	0.5573896188930363	0.747900841011042
sub-10_UA_trial6	-0.9355578914689232	0.20575843347001416	0.03893682096016678	0.9849437765435763	0.5418353555582238	0.8595705115262828	0.933959435625834
sub-10_UA_trial7	0.9532376410881492	0.9968006078765204	-0.9267348767424135	-0.8421207662680047	-0.5238083869619446	0.9956702158614025	0.6948278744198231
sub-10_UA_trial8	0.9626301606778114	0.903585607192722	0.8116287683332247	0.9993437970129709	0.9607470977272671	0.93438882731837	-0.9175681932771855
sub-11_AA_trial0	0.9624235854355364	0.9383419957495823	0.6444365723326014	0.45860803492058905	-0.8374896483376018	-0.7014544934340886	0.39469481934613737
sub-11_AA_trial1	0.8335019912082994	0.35858262794232326	0.7257731554318799	0.9421752497934024	0.9207413723544702	0.9458135311673578	0.7365208852656822
sub-11_UA_trial0	-0.6417020657212574	0.9744874883164607	0.25521387553066177	0.7890168014304053	0.6481399152358708	0.05043344065475278	0.977980516340319
sub-11_UA_trial1	-0.803127044908468	-0.2735385953380534	0.8046548272918461	0.40999632496025895	0.46145167479864724	0.5302032606297725	0.6530001867545956
sub-12_AA_trial0	0.9634889455177285	0.9471879051031846	-0.9887124794991896	-0.05883945051050395	-0.013157077140114245	0.27355432502347915	0.9272264704471901
sub-12_AA_trial1	0.9780766163562891	0.5589481767698661	0.5239523994291334	0.988717299282485	0.872731591385523	-0.420246004058395	0.5574360648916352
sub-12_AA_trial2	0.872731591385523	-0.420246004058395	0.5574360648916352	0.9648798502615924	0.62955300112482	-0.8589102645751052	0.8013921023238676
sub-12_AA_trial3	-0.32246262944605997	0.04012208687484959	-0.49419188156366506	0.9984492709937968	0.5225855641074275	0.8595840342143558	0.9628553694275793
sub-12_AA_trial4	0.8595840342143558	0.9628553694275793	0.886609543254249	0.9831773214619046	0.9139075981911265	0.9101571012494857	0.8972402318758586
sub-12_AA_trial5	0.9101571012494857	0.8972402318758586	0.8773340440706899	0.15417501479510717	0.7557278335997628	0.5370984696942924	0.9640456584927423
sub-12_AA_trial6	0.9742721872785856	0.999330296077911	0.3817704523854139	-0.027819417215143402	-0.21806121055859864	0.501133705438934	0.7057708783817922
sub-12_AA_trial7	0.7057708783817922	0.007860728899894589	0.9112214300887155	0.9673171968620098	0.8892945295924265	-0.29345173549324644	0.8249569655127904
sub-12_AA_trial8	-0.29345173549324644	0.8249569655127904	0.9905954764152063	0.6903487778827695	0.8614844604448552	0.9956232994604252	0.9871785015531985
sub-12_AA_trial9	0.9996810348625689	0.9799372324833457	0.9516806749563226	0.9609419601940802	0.7777367974091046	0.8181928853568946	0.7754105468667084
sub-12_UA_trial0	0.8607485869832009	0.8713513343382995	0.8769159344491525	0.9874397742350652	0.8885534501042247	0.9842135055875603	0.9287029324249755
sub-12_UA_trial1	0.9945803947542889	-0.03939562482793061	-0.05821790966316196	-0.9993426936474052	0.9371681004917857	0.9971064416116586	0.9948285281978146
sub-12_UA_trial2	0.7769394538196486	0.7894413086080093	0.5255478921940475	0.2136085481251604	0.9824183298781758	0.29909641485447336	0.6550181514876547
sub-12_UA_trial3	0.9824183298781758	0.29909641485447336	0.6550181514876547	0.8986186452607449	0.7086121940939073	0.9926897709158168	0.8659447890723018
sub-12_UA_trial4	0.8659447890723018	0.9999911928013621	0.9989480976343751	0.6788112995650558	0.2682486745511506	-0.18257914461930347	0.46470673197360063
sub-12_UA_trial5	0.2682486745511506	-0.18257914461930347	0.46470673197360063	-0.9145441258460005	0.9823725841160622	0.9562513119381745	-0.29967529377986096
sub-12_UA_trial6	0.7535269217771946	0.43338918708863516	0.9618195684095104	0.9918113358483324	0.8765157216542471	0.9104483698106435	0.8778134580490303
sub-12_UA_trial7	0.8778134580490303	0.992133440651482	0.8664217415164794	0.30830799370504836	0.8204611215214632	-0.39447633224064643	-0.2926502723580156
sub-12_UA_trial8	-0.39447633224064643	-0.2926502723580156	0.39986928604045135	0.8949671293261123	0.8376763660746631	0.8942955823897105	0.9982031396579888
sub-12_UA_trial9	-0.4569816677300933	-0.22576805017094773	0.4948871973151591	0.9895108807309874	0.9434204266051347	0.7109139712263596	0.790353230297382
sub-12_UA_trial10	0.790353230297382	0.6743020007182823	0.9999649940379309	0.9900347542210424	0.9995226200369253	0.7204001801765477	0.8727930878676305
sub-12_UA_trial11	-0.9996853368997016	-0.6305410822572056	0.5106421402431633	0.9007397957375025	-0.8713642316807653	0.736177249026013	0.9660948935593712
sub-15_AA_trial0	-0.803646969101836	-0.9005351788230457	-0.9999294087932155	-0.9931595110743479	-0.8313153442266099	-0.39789772712591714	-0.755389120694605
sub-15_AA_trial1	-0.7855682344585121	-0.5939083639023192	0.5703143488030771	-0.4776751418385189	-0.8848845364389806	0.5046306927325228	0.7096571820968967
