	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12
sub-10_AA_trial3	0.43398086125500435	0.13413012382944978	0.30319899479821005	-0.04937572668368668	-0.2545334658555075	-0.7275259295830098	-0.3293499051984421	-0.3711429925788104	0.25692149327027614	0.2537770093136143	0.36273140470002	0.04981752862574987	0.32524286554218945
sub-10_AA_trial4	0.32524286554218945	0.6907886849887347	0.7943039320410749	0.8888630326913002	0.7708376632802008	0.9086937811847733	0.8727750606556608	0.7627237044942922	0.7929210470495027	0.8524651664214581	0.780073348342964	0.8926636065379226	0.8780135275813375
sub-10_AA_trial5	0.780073348342964	0.8926636065379226	0.8780135275813375	0.8313134691575016	0.8088431745924978	0.6207200086409151	0.5837792873710658	0.16605112459101284	0.2002082594925132	0.4470178546705874	0.49808009380997903	0.8687855251289042	0.9363765077671014
sub-10_UA_trial0	0.5189563932145966	0.9502854451863235	0.81486106976086	0.8356951017262653	0.8194187278331858	0.8758464534027083	0.8618341411690317	0.676193742943512	0.8359128466182356	0.6769866854208055	0.6244019730475849	0.8621212882282776	0.8270342193764781
sub-10_UA_trial1	0.9199588064615898	0.8553873778203082	0.7636669590780193	0.8069593285380163	0.8608385694592542	0.8255901630180426	0.881092881681524	0.9264127533298502	0.9267236660348561	0.9333581133731039	0.8028964897387344	0.5891356449905589	0.824362528769123
sub-10_UA_trial2	0.5715804250821591	0.8235519636429909	0.8116899160557529	0.7851304724463292	0.6742680054376542	0.5882145585647136	0.8323576816589969	0.8480297223528902	0.8965020924976087	0.8372004147373624	0.7002474709503118	0.8358049647989374	0.8416284361824211
sub-10_UA_trial3	0.9669734350793104	0.9611358026850112	0.8695772249575817	0.7233844615601764	0.8112868741016511	0.8014764503024819	0.7757613434528908	0.6199611544783132	0.8305056186122293	0.763122076764049	0.7604636864765593	0.9650605449549929	0.9867888996375477
sub-10_UA_trial4	0.9650605449549929	0.9867888996375477	0.6264973342461861	0.5248731794608208	0.4905915004449001	0.652692574357777	0.6228775416671212	0.3218381420785221	-0.028415678916598373	0.40702584637071115	0.2421766769690642	0.516120204358395	0.6871296857310989
sub-10_UA_trial5	0.516120204358395	0.6871296857310989	0.44631439384341215	0.3075166741352802	0.27673223026120525	0.4449209598960575	0.5038548995545915	0.588559171569255	0.8394026473628962	0.8134659421379157	0.7843507092862045	0.8494447077471612	0.854910448646087
sub-11_AA_trial0	0.900978105449558	0.7428553419551709	0.6805629147387945	0.7990183223106869	0.8135646976359134	0.8140877261756113	0.8721407974910539	0.9303661200623661	0.7769181619617381	0.8276831480810192	0.919152147483438	0.9345817899382397	0.842669258852908
sub-11_AA_trial1	0.3066611185111775	0.2702474192122924	-0.028153052295759717	0.36942516031433636	0.30034749659918675	0.35055395276663387	0.7833185803560896	0.7759277907272971	0.6951503774115019	0.7655014710882481	0.8768221809150177	0.7209899094004684	0.7380133163582193
sub-11_AA_trial2	0.5262756149133957	0.36972298611597676	0.6123989504983154	0.6995480881077786	0.804387738185809	0.8156014684369576	0.8531880701947997	0.8874574818994092	0.9214122856955654	0.9414444792989596	0.8089886260674464	0.3575982093145068	0.6069899740806703
sub-11_AA_trial3	0.5266356882508879	0.20859552171719392	0.037421842597940486	-0.32873187549532695	-0.2754090763500894	0.3524344730970309	0.43716636339804327	0.5525906125152482	0.8203038093680152	0.9885308367953175	0.9556519245213965	0.7050943575254751	0.4952031061878113
sub-11_AA_trial4	0.9037948218322974	0.9452779694601465	0.9289844262686828	0.8206228102931411	0.906646341050278	0.8969897485029874	0.6452309828236534	0.2038115980234576	0.21263596126858517	0.592404629483349	0.6769846446217963	0.7716107612274802	0.7462638570732473
sub-11_UA_trial0	0.7623120111534408	0.3520460202187793	0.03851377328541314	0.1242372318757547	0.42206001611887517	0.5695559952847555	0.5080919376108277	0.611699929244097	0.2941015060095429	0.8486160134199462	0.6794523931098819	0.6046964596002719	0.5952618365412775
sub-11_UA_trial1	0.7114515179790708	0.28985350328979936	0.4767602648363849	0.29447329320381505	0.4488743106676582	0.2585367750264137	0.364966824938538	0.6860561165683163	0.359032003310887	0.3437401204590701	0.2694836215464095	0.7589395892260558	0.6569159682988668
sub-11_UA_trial2	0.4543248575026542	0.28725772750928336	-0.13097278819270228	-0.4726456513035335	0.09192688770376606	0.25868109461534444	0.32419955866766037	0.581783434818301	0.5081122353822095	-0.022009336218296087	0.4257424600462306	0.4410698607764125	0.2902759559759862
sub-11_UA_trial3	-0.48377738278872745	-0.045097901947146773	0.1029034821933736	0.6829567490636882	0.503284470886052	0.28112283563826757	0.6051656205287909	0.5792329972889751	0.5453744575020536	0.6558253330882348	0.41189130023254145	0.6038748610825309	0.5926522880643713
sub-11_UA_trial4	0.3073234895186574	0.33754743144367255	0.5689834436138974	0.5395134281686702	0.22286349294876676	0.362136647661413	0.9530291802054408	0.919512333398867	0.8817947062123248	0.837866744123608	0.7699913021212802	0.734361943078644	0.8023877033172504
sub-11_UA_trial5	0.1834381064455172	0.44982436856362545	0.4466125705764422	-0.34469392726633724	-0.5572016420942241	-0.3943991327898027	-0.05591485551718628	0.17133629270025452	0.480225330783421	0.4695763732668199	0.686472859163479	0.42706627309313483	0.5885685821779199
