subject	tr	task	roi	beta	tval	zval
sub-05	0750	UA	hMT+ R	0.9720981440447414	6.070041507185106	5.934034457516236
sub-05	0750	UA	V1 L	1.2634004110260506	8.514586449339312	8.189031708862872
sub-05	0750	UA	V1 R	0.9738009386943642	6.663905683010061	6.511191334934159
sub-05	1000	AA	hMT+ L	0.9798814820941615	7.408210914675466	7.110661058120035
sub-05	1000	AA	hMT+ R	1.1830987696020332	8.311652087630279	7.912891557973204
sub-05	1000	AA	V1 L	1.362747139100146	6.469066713923517	6.2672408211701605
sub-05	1000	AA	V1 R	1.118250471592193	6.496368389777933	6.305514970759618
sub-05	1000	UA	hMT+ L	0.6743886297217994	4.173680053126765	4.101311427909973
sub-05	1000	UA	hMT+ R	0.8409437845457354	3.991127546271076	3.931025430381346
sub-05	1000	UA	V1 L	1.2645305114585832	4.746216742997914	4.661759205242992
sub-05	1000	UA	V1 R	0.9662393469795305	4.708057649782826	4.632415234142263
sub-05	2500	AA	hMT+ L	0.835803163989502	5.720082105483877	5.238266405826418
sub-05	2500	AA	hMT+ R	0.9718232140428146	5.8656160945931415	5.352548844189974
sub-05	2500	AA	V1 L	1.6966351620024835	6.6176490150128755	6.0742535538610145
sub-05	2500	AA	V1 R	1.0041124076481707	5.287090108140779	4.993767072806138
sub-05	2500	UA	hMT+ L	0.6830455749384661	4.8242150320123045	4.529933540586819
sub-05	2500	UA	hMT+ R	0.7013220600557681	4.421935142857528	4.149353313753145
sub-05	2500	UA	V1 L	0.9690289002984217	4.177430579456172	4.0006609789171
sub-05	2500	UA	V1 R	0.859877086105528	4.627763863239436	4.422584518009522
sub-06	0500	AA	hMT+ L	0.6086852768271567	3.6379093195645376	3.6083870294397724
sub-06	0500	AA	hMT+ R	0.4216000339563812	3.266237328192332	3.2476076153403093
sub-06	0500	AA	V1 L	0.23359602969012244	1.3296198439585618	1.327917905621283
sub-06	0500	AA	V1 R	0.1549706364289677	1.0113208894914276	1.0103531740424219
sub-06	0500	UA	hMT+ L	0.4562181837091423	3.5755506415958207	3.5526324683741457
sub-06	0500	UA	hMT+ R	0.13284105723175385	1.2757790584683917	1.2715759700790423
sub-06	0500	UA	V1 L	0.32361627099154827	1.9322768016376433	1.928410106061543
sub-06	0500	UA	V1 R	0.29229348234770824	2.1205170710681465	2.11515484469244
sub-06	0750	AA	hMT+ L			
sub-06	0750	AA	hMT+ R			
sub-06	0750	AA	V1 L			
sub-06	0750	AA	V1 R			
sub-06	0750	UA	hMT+ L	0.38060000171130015	2.815888335581518	2.7984579871045834
sub-06	0750	UA	hMT+ R	0.15682299373026534	1.4019549795679287	1.398038779230731
sub-06	0750	UA	V1 L	0.11896021315860489	0.7551215436996805	0.7541456771266831
sub-06	0750	UA	V1 R	0.13998141144746037	1.3071270067021974	1.304302301949731
sub-06	1000	AA	hMT+ L	0.6516271138523014	4.507219320038803	4.425053481811967
