bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-06_task-AA_acq-1000_run-1_bold	0.0006731538461538462	0.015124910410256412	0	36.06348789347041	1.264725762853471	0.9916831833676093	0.6026299787552928	1252.0592041015625	0.12508298034323617	43	11.025641025641026	1.6735762269147505	1.6112356890247541	1.8887663250528308	1.5207266666666666	0.0129438	-0.008095776662230492	0.07078912854194641	390	76	76	42	6.51633714000252	1.0	2.526315689086914	2.526315689086914	3.0	12.890199207282064	248.33761354870603	816.888427734375	287.1788635253906	131721.0	97.02017211914062	3423.985107421875	1280.420654296875	2.404720988653427	1555.2106351616933	10930.0830078125	10881.6962890625	61407.0	8478.03544921875	13596.137499999999	1669.8963623046875	47.6650390625
sub-06_task-AA_acq-2500_run-1_bold	0.0016217307692307692	0.003559746346153846	0	29.869088326516138	1.0942393096129037	1.0025573612258067	0.6144886810049537	196.36839294433594	0.07691428423312031	4	2.5641025641025643	2.7349223649845356	2.639028854865585	2.8962849067546887	2.6694533333333332	0.0144527	0.005839559715241194	0.07704687863588333	156	76	76	42	2.4834661721775237	2.5	2.526315689086914	2.526315689086914	3.0	25.944769084278335	164.0079839158468	1654.5323486328125	899.7484130859375	128328.0	753.28046875	5563.765014648435	2133.435546875	1.0076245273737783	4891.89524698602	13900.353515625	12927.25	60030.0	7280.119140625	23896.210253906247	5205.2822265625	50.1186637878418
sub-06_task-UA_acq-0500_run-1_bold	0.0001761617458279846	0.017257685494223362	1	44.245845358200484	1.2577330668766062	0.9874909604370179	0.59746123034826	1722.891845703125	0.08728389319079714	14	1.797175866495507	1.699405671970319	1.6297527730938903	1.9163875761504006	1.5520766666666665	0.0177671	-0.005053026136010885	0.06499622017145157	779	76	76	42	6.5748117458095106	0.5	2.526315689086914	2.526315689086914	3.0	12.624350443207907	159.26456059407377	580.3565063476562	184.35446166992188	132024.0	64.38570289611816	2527.293408203122	944.650146484375	2.1816852379662866	1162.3080165741476	8179.33544921875	8150.861328125	61078.0	6336.071362304688	10167.141992187499	1239.7000732421875	40.4818000793457
sub-06_task-UA_acq-0750_run-1_bold	0.00030134615384615383	0.015202921730769231	0	36.75551085957608	1.2442960110404617	0.9879068514643538	0.6139569216958279	1278.5338134765625	0.14656306899842103	108	20.76923076923077	1.6492078928117444	1.5754800626039531	1.8664136158312805	1.50573	0.0466223	-0.008398032747209072	0.06509799510240555	520	76	76	40	6.712891450482756	0.75	2.526315689086914	2.526315689086914	3.0	12.060998456843896	209.51628323438447	763.9461059570312	256.3930358886719	122078.0	97.4913257598877	3247.244848632812	1194.8616943359375	2.6958995286175025	1321.8419514856391	9818.4814453125	9780.78125	60842.0	7647.262646484375	12138.168017578122	1457.002685546875	45.783023834228516
sub-06_task-UA_acq-1000_run-1_bold	0.0002383290488431877	0.016534067866323908	1	34.55982589229384	1.2110504451546382	0.9690577519072174	0.6029598291192447	1265.0018310546875	0.11728241968688405	37	9.511568123393316	1.7025158108930778	1.6269779813169631	1.9217194513622702	1.5588499999999998	0.015938	-0.009127948433160782	0.06994988024234772	389	76	76	42	6.541944499182328	1.0	2.526315689086914	2.526315689086914	3.0	12.612335667277279	252.73526564614139	815.8568115234375	288.2545166015625	131520.0	95.68252754211426	3411.5525024413946	1269.1417236328125	2.0097547212552067	1586.4958585381278	10979.875	10927.494140625	61648.0	8510.723583984374	13661.651611328125	1670.3604736328125	45.705665588378906
sub-06_task-UA_acq-2500_run-1_bold	0.0008183333333333333	0.003920179166666667	0	31.224947320709667	1.103818612645161	0.9923346879354844	0.6146738545458367	194.74752807617188	0.07834778806400748	2	1.2820512820512822	2.7405441705961913	2.6395711465538003	2.8999780319014405	2.6820833333333334	0.0298606	0.005983383394777775	0.07659837603569031	156	76	76	42	2.4678046234192466	2.5	2.526315689086914	2.526315689086914	3.0	25.987584882256243	177.689568218979	1658.7939453125	904.7520141601562	127927.0	750.51806640625	5582.882568359374	2130.040771484375	1.0222454177886293	4964.26404384996	13970.7021484375	12989.03125	60174.0	7304.13701171875	24036.843164062495	5263.3515625	49.102901458740234
sub-06_task-loc_acq-1000_run-1_bold	0.0006151149425287357	0.012277856896551722	0	36.75290882786124	1.2873153554335268	1.0112389482080926	0.5988302432816658	1398.84521484375	0.12249979007954176	17	9.770114942528735	1.6845895604787755	1.6178896476224918	1.8995290338138353	1.5363499999999999	0.0228705	-0.006595958955585957	0.07093989104032516	174	76	76	42	6.59241988639072	1.0	2.526315689086914	2.526315689086914	3.0	13.69407140770095	234.85431168262596	794.906982421875	276.62127685546875	131900.0	95.05513458251953	3330.6736816406205	1274.3909912109375	2.236143454861981	1572.0593090061752	11099.158203125	11067.3076171875	61213.0	8588.6884765625	13769.5044921875	1678.7791748046875	52.94990921020508
sub-07_task-AA_acq-0500_run-1_bold	0.0002308118556701031	0.022318332731958764	4	37.83770761811615	1.1187927665677424	0.9547692416516139	0.5555957394629635	1801.11181640625	0.09794345446085231	21	2.7061855670103094	1.929440400625704	1.8784469496427754	2.153380918901003	1.7564933333333332	0.0073151	-0.006618279963731766	0.030153825879096985	776	76	76	42	6.495131456924382	0.5	2.526315689086914	2.526315689086914	3.0	16.66172281613714	147.9011767484804	479.35797119140625	185.1007537841797	144230.0	71.13055458068848	1929.2213623046848	729.8318481445312	1.9315336817469921	1156.0210737193565	8088.45849609375	8071.662109375	51398.0	6149.488134765625	10076.1609375	1242.712890625	35.74163055419922
sub-07_task-AA_acq-0750_run-1_bold	0.0006676153846153847	0.012797511076923078	0	25.596537106917157	1.0699531735067438	0.9877956553949897	0.5677832302832437	1389.42578125	0.10371337887979645	6	1.1538461538461537	1.8742649822446806	1.8104625719413192	2.0919357081260563	1.7203966666666668	0.00885488	-0.007551162037998438	0.031482845544815063	520	76	76	40	6.5980494003864445	0.75	2.526315689086914	2.526315689086914	3.0	17.193933706558685	190.87710637115848	610.4479370117188	256.10491943359375	134454.0	104.29402465820313	2389.0902221679657	903.879638671875	2.120839926243887	1364.027341660921	9856.078125	9837.1298828125	51097.0	7579.82275390625	12233.537499999999	1490.9002685546875	48.66343307495117
sub-07_task-AA_acq-1000_run-1_bold	0.0019162210796915165	0.012543919768637533	1	28.54507810069588	1.1790286276804125	0.9939811372164957	0.5565233261790918	1541.111083984375	0.11645454207941759	20	5.141388174807198	1.8409726203673573	1.7920127795415235	2.052538414893882	1.6783666666666666	0.00925159	-0.007070340681821108	0.032059554010629654	389	76	76	42	6.446357904623853	1.0	2.526315689086914	2.526315689086914	3.0	17.489322415578272	215.47081357775932	674.711181640625	272.362548828125	144319.0	100.53604507446289	2689.8660400390672	1035.761474609375	2.509490965020963	1558.7253000888634	11085.07421875	11047.1923828125	51280.0	8513.261572265625	13846.479541015624	1713.6939697265625	50.91044616699219
