subject	tr	task	roi	beta	tval	zval
sub-02	1000	UA	hMT+ R	0.6061258050091608	2.821750229548695	2.756835037090811
sub-02	1000	UA	V1 L	0.2370130412051648	1.6942728622265673	1.687073348092732
sub-02	1000	UA	V1 R	0.4718687326305084	2.7926033079863184	2.7736862383389025
sub-02	2500	UA	hMT+ L	1.5726630756063606	7.012827161517263	6.306400469529709
sub-02	2500	UA	hMT+ R	1.244381325647272	4.7867853280280475	4.4382407542782545
sub-02	2500	UA	V1 L	0.6208617541172871	3.3054885225093735	3.1954863620290763
sub-02	2500	UA	V1 R	0.8480245333448317	4.2821635708467864	4.1109513702518825
sub-03	0500	UA	hMT+ L	0.6388680386388207	7.56066393340065	7.369469100983777
sub-03	0500	UA	hMT+ R	0.37477570566480967	3.751924635513985	3.710693899142298
sub-03	0500	UA	V1 L	0.4654495475228156	4.68367644445032	4.6214341403553725
sub-03	0500	UA	V1 R	0.3726644582096385	5.867467449445728	5.745280357462578
sub-03	0750	UA	hMT+ L	0.6606797967955379	5.319700924065267	5.194295241081317
sub-03	0750	UA	hMT+ R	0.3299388747425297	2.5758751328666882	2.5354279980674606
sub-03	0750	UA	V1 L	0.5617241738954545	3.9776919049713357	3.9226551302466004
sub-03	0750	UA	V1 R	0.39928786089681045	3.4795954057982517	3.4357057766127044
sub-03	1000	UA	hMT+ L	0.6196573220659102	6.86279493023176	6.5700731452698085
sub-03	1000	UA	hMT+ R	0.24159244552710213	2.3803451093968224	2.3496607888751933
sub-03	1000	UA	V1 L	0.5378152782217396	3.819802870029695	3.764913014730082
sub-03	1000	UA	V1 R	0.3847188167049481	4.545312618212493	4.443198533402664
sub-03	2500	UA	hMT+ L	0.1949928682591391	1.1951604178059942	1.1719926942193166
sub-03	2500	UA	hMT+ R	0.10083578036501048	0.4852162568251644	0.47161521441256044
sub-03	2500	UA	V1 L	0.8966007275499991	3.994452041488322	3.8331932240099147
sub-03	2500	UA	V1 R	0.3016511147646547	1.7558642641936897	1.7225520540659878
sub-05	0500	UA	hMT+ L	0.7485856797542605	6.417290027033592	6.3038857070200605
sub-05	0500	UA	hMT+ R	0.7517053695868313	5.294058151779786	5.224362182380207
sub-05	0500	UA	V1 L	0.8988000377645929	4.7628271052949085	4.715456659889037
sub-05	0500	UA	V1 R	0.7399111908648349	4.601964161173977	4.565434395949076
sub-05	0750	UA	hMT+ L	1.1239674633787962	9.784016853545296	9.310544034788752
sub-05	0750	UA	hMT+ R	1.0641128821283807	7.854389998940954	7.581571092301049
sub-05	0750	UA	V1 L	1.4554962043389148	11.625695909459631	10.86849246132328
sub-05	0750	UA	V1 R	1.179573713030584	9.321496171295406	8.930095235144599
sub-05	1000	UA	hMT+ L	0.5832204779751815	4.024507558461045	3.9505250726173657
sub-05	1000	UA	hMT+ R	0.751167558204019	4.036334881507633	3.9721588757442183
sub-05	1000	UA	V1 L	1.2277402315560768	5.3216196937403275	5.2031497383807155
sub-05	1000	UA	V1 R	0.93766830391786	5.142534431639216	5.046275159657485
sub-05	2500	UA	hMT+ L	0.6743173714444101	5.681944995218055	5.204793774745561
sub-05	2500	UA	hMT+ R	0.7515848680950211	5.766931862565363	5.256052446967855
sub-05	2500	UA	V1 L	1.0708518611613445	5.446891923771678	5.104438390875222
sub-05	2500	UA	V1 R	0.9320182883746946	5.8528953117683535	5.464346412048998
sub-06	0500	UA	hMT+ L	0.5320279023835663	4.568274127148022	4.523823832562749
sub-06	0500	UA	hMT+ R	0.1963279967968068	2.0138809130525206	2.0046081653808607
sub-06	0500	UA	V1 L	0.32248146428933283	2.160805469136625	2.155878063340446
sub-06	0500	UA	V1 R	0.3537748850968956	2.9099039415799197	2.8989564750557335
sub-06	0750	UA	hMT+ L	0.3294357585732751	3.0005183144245424	2.979879018601112
sub-06	0750	UA	hMT+ R	0.10313099945153754	1.1362320414631328	1.1316617377789961
sub-06	0750	UA	V1 L	0.004179818547258774	0.07960038281527665	0.07956157002548755
sub-06	0750	UA	V1 R	0.08110554938209416	0.9629039623492142	0.9606642790725757
sub-06	1000	UA	hMT+ L	0.36589411611334843	2.137170528079672	2.1224260233076615
sub-06	1000	UA	hMT+ R	0.06934136706598358	0.5178878616132473	0.5141809204776792
sub-06	1000	UA	V1 L	0.25943587746769076	1.3308260996415802	1.3270467579728555
sub-06	1000	UA	V1 R	0.27875867327756493	1.7764072197456808	1.7677164591086107
sub-06	2500	UA	hMT+ L	0.9062673954199232	4.595266561964713	4.365531524153822
sub-06	2500	UA	hMT+ R	0.5183680186036417	3.7229089950704606	3.5869838436783428
sub-06	2500	UA	V1 L	0.6600754882253738	3.5735713901058737	3.4642372145713924
sub-06	2500	UA	V1 R	0.536852689828579	3.3608287980575207	3.2529392671162047
sub-07	0500	UA	hMT+ L	1.503702987354496	9.033720871047109	8.763927316939569
sub-07	0500	UA	hMT+ R	0.6469286184708101	4.655051514248847	4.565790406177885
sub-07	0500	UA	V1 L	0.5292569133461064	4.598799851122575	4.538165128114941
sub-07	0500	UA	V1 R	0.26419961444433615	2.7843834866024992	2.7716293948868547
sub-07	0750	UA	hMT+ L	1.7728032265455314	10.30146154240635	9.757029293886033
sub-07	0750	UA	hMT+ R	0.7264608412930321	4.258685303036611	4.132019966144269
sub-07	0750	UA	V1 L	0.43492613823226595	3.6839680705698585	3.6205385395316974
sub-07	0750	UA	V1 R	0.2141095287357623	2.184311965753477	2.173497362193683
sub-07	1000	UA	hMT+ L	1.8679629042246846	13.524360376177691	12.052244495124876
sub-07	1000	UA	hMT+ R	0.8829264869023153	7.926864478236425	7.309649903415043
sub-07	1000	UA	V1 L	0.6213018143998239	5.818688349642797	5.6481488526648755
sub-07	1000	UA	V1 R	0.45120020418651596	5.501803155268876	5.368438658062897
sub-07	2500	UA	hMT+ L	1.8447051745803018	4.204970459494044	4.03236185379504
sub-07	2500	UA	hMT+ R	1.01697274170705	2.7117446192026753	2.6155088590585476
sub-07	2500	UA	V1 L	0.35724324009613184	1.2976380071906866	1.284052210616
sub-07	2500	UA	V1 R	0.19993281450594935	0.7467036799040145	0.7414463919332812
sub-08	0500	UA	hMT+ L	1.1492681489577694	9.99763461460366	9.649207143760401
sub-08	0500	UA	hMT+ R	0.9413833622617378	7.3595064595612225	7.1632167622354554
sub-08	0500	UA	V1 L	0.23792129966161002	1.406252521748848	1.4007120126782118
sub-08	0500	UA	V1 R	0.4488225447863634	4.200278143236912	4.164955515990054
sub-08	0750	UA	hMT+ L	1.0783194013839716	7.539408695055295	7.314819104865121
sub-08	0750	UA	hMT+ R	0.7501724717969345	4.665583621128297	4.583269879483244
sub-08	0750	UA	V1 L	0.3006261619626802	1.5766986230244875	1.5684513992015372
sub-08	0750	UA	V1 R	0.3631148473331255	2.6754994411276947	2.6619782102918443
sub-08	1000	UA	hMT+ L	0.6536806844190384	4.280963365014974	4.1936178264878565
sub-08	1000	UA	hMT+ R	0.716802955563127	4.036458500051959	3.954612617250738
sub-08	1000	UA	V1 L	0.06347963663312203	0.49216398874213285	0.4912649782919004
sub-08	1000	UA	V1 R	0.30112723020647236	2.277976651176364	2.263733054086887
sub-08	2500	UA	hMT+ L	0.46386962935475196	1.8453044995179044	1.8122155058359248
sub-08	2500	UA	hMT+ R	0.5774001369751063	2.328855635280315	2.2681282448663826
sub-08	2500	UA	V1 L	-0.18608713149632775	-0.17645669562593572	-0.17144365953944207
sub-08	2500	UA	V1 R	0.26196918163159966	0.9611949621917036	0.9516896096802383
sub-10	0500	UA	hMT+ L	1.2116111246313832	9.056332201887018	8.772390453424345
sub-10	0500	UA	hMT+ R	1.1692408349913905	7.0011982502359515	6.831682329085421
sub-10	0500	UA	V1 L	0.7955872304537672	4.810762801568226	4.761619048144197
sub-10	0500	UA	V1 R	0.41950480024913067	3.098107100463593	3.0862284894815546
sub-10	0750	UA	hMT+ L	0.834362579698197	6.991444345036554	6.7796523933776225
sub-10	0750	UA	hMT+ R	0.9378088220868137	6.660430034763309	6.432170267098373
sub-10	0750	UA	V1 L	0.9870293424640484	8.432241873787772	8.09345296035081
sub-10	0750	UA	V1 R	0.6298507694832564	4.926873418404663	4.861488324682732
sub-10	1000	UA	hMT+ L	1.193360019484261	7.921418733308448	7.549317489474519
sub-10	1000	UA	hMT+ R	1.1094410594939372	6.588144107571319	6.288042751767297
sub-10	1000	UA	V1 L	0.880211570448659	5.421916886462707	5.274775414831779
sub-10	1000	UA	V1 R	0.5487479402378468	3.6727496347965385	3.632105686313315
sub-10	2500	UA	hMT+ L	0.8703716962882818	4.582138999447028	4.297087646507766
sub-10	2500	UA	hMT+ R	0.41890134954850217	1.8530549922224717	1.7700901293403015
sub-10	2500	UA	V1 L	0.7388855019890029	4.381615636807545	4.158926345895624
sub-10	2500	UA	V1 R	0.4695525715901318	2.833071491020791	2.778189966879738
sub-11	0500	UA	hMT+ L	0.8032358745072272	10.301061303810588	9.897377790549296
sub-11	0500	UA	hMT+ R	0.8655043469120169	9.126158079702817	8.834691649063762
sub-11	0500	UA	V1 L	0.31137060898721297	5.045000313241203	4.983585916975099
sub-11	0500	UA	V1 R	0.23104050010255	3.382227282311508	3.3452083170758375
sub-11	0750	UA	hMT+ L	1.055043277959752	9.183487124873642	8.764376600910147
sub-11	0750	UA	hMT+ R	1.1330960183111403	7.304496210361863	7.097044803691825
sub-11	0750	UA	V1 L	0.4747471988839294	6.055761132423867	5.927261139859954
sub-11	0750	UA	V1 R	0.35372546798315674	3.3290708347891687	3.2977227039048276
sub-11	1000	UA	hMT+ L	0.8383624699270701	7.88455848564503	7.476524580483052
sub-11	1000	UA	hMT+ R	0.8132920068492449	6.247331779356473	6.034110019066208
sub-11	1000	UA	V1 L	0.3900341055040721	5.4397887040695805	5.296263734711105
sub-11	1000	UA	V1 R	0.1866760122239215	2.104151329833655	2.083737644923195
sub-11	2500	UA	hMT+ L	0.7375674696954198	6.354648963044969	5.747140163824452
sub-11	2500	UA	hMT+ R	0.7620185162154105	5.00903061504773	4.681997939296506
sub-11	2500	UA	V1 L	0.4672507179879771	3.9642185186132766	3.8023684249444805
sub-11	2500	UA	V1 R	0.2521740311517317	1.9102483672977297	1.8822598338413359
sub-12	0500	UA	hMT+ L	1.5701853446799074	10.124170182527681	9.765061271460011
sub-12	0500	UA	hMT+ R	0.8250643570404416	6.486342901254056	6.364352664528762
sub-12	0500	UA	V1 L	0.7520128148219659	5.430777501211143	5.3698622966284475
sub-12	0500	UA	V1 R	1.0294226498958756	4.843039135108369	4.7987534708500394
sub-12	0750	UA	hMT+ L	1.3144416297673263	6.001938226462676	5.873251537685608
sub-12	0750	UA	hMT+ R	0.5718505002590258	3.146867535499224	3.1194889347995356
sub-12	0750	UA	V1 L	0.18376861618512128	1.0678344238350126	1.0651679014031201
sub-12	0750	UA	V1 R	0.1264874255015595	0.5351904356032294	0.5343990022820005
sub-12	1000	UA	hMT+ L	1.7672938936018894	8.980121358978199	8.497212089656573
sub-12	1000	UA	hMT+ R	1.2791582116692617	7.83218884958015	7.494707147742418
sub-12	1000	UA	V1 L	0.9726997978472611	5.555556693205707	5.42155582433632
sub-12	1000	UA	V1 R	1.3143534513093762	4.882091517324982	4.792674102352421
sub-12	2500	UA	hMT+ L	1.9376572518129063	8.765824814854923	7.668936583332866
sub-12	2500	UA	hMT+ R	1.3298941196756253	7.2186400977455865	6.508665682673324
sub-12	2500	UA	V1 L	0.8080526701234646	3.8184919286356793	3.7000021035576784
sub-12	2500	UA	V1 R	1.262653781491322	3.6865164767372924	3.572611359918311
sub-15	0500	UA	hMT+ L	0.6115649974158444	4.751427542495535	4.677509709899132
