subject	tr	task	roi	beta	tval	zval
sub-02	1000	UA	hMT+ L	0.27705847676758705	1.6556092087308054	1.6485622582541044
sub-02	1000	UA	hMT+ R	0.06039779909499085	0.5161388294160932	0.5149579481172253
sub-02	1000	UA	V1 L	0.20137209217562727	1.6502894102402272	1.6441932735709457
sub-02	1000	UA	V1 R	0.18972111356002458	1.2736192020163994	1.2704508612054313
sub-02	2500	UA	hMT+ L	0.034597678439680805	0.18790396132611795	0.18711458734875985
sub-02	2500	UA	hMT+ R	-0.111528026857886	-0.4331513707898025	-0.42942941128418705
sub-02	2500	UA	V1 L	0.17373843291421215	1.2258866336138547	1.2076010967933408
sub-02	2500	UA	V1 R	0.06982152591355173	0.48061930967106026	0.47902551753342104
sub-03	0500	UA	hMT+ L	-0.16818668957595437	-2.124924489413979	-2.1195745790930878
sub-03	0500	UA	hMT+ R	-0.286228382533248	-3.213325536811968	-3.197673779477846
sub-03	0500	UA	V1 L	-0.011310560947002814	-0.5727879103481295	-0.5714504465885301
sub-03	0500	UA	V1 R	0.00889837284230236	0.09596842223226855	0.09549309655603089
sub-03	0750	UA	hMT+ L	-0.2518330778834272	-2.581384274316674	-2.569140718308221
sub-03	0750	UA	hMT+ R	-0.406074531478309	-3.611183242834583	-3.5784312696649723
sub-03	0750	UA	V1 L	-0.5472585911611236	-5.205645684242311	-5.104386917038078
sub-03	0750	UA	V1 R	-0.3628713907192102	-4.601166891180133	-4.518703115099549
sub-03	1000	UA	hMT+ L	-0.23349866780099737	-2.4000701802379614	-2.3862359108721964
sub-03	1000	UA	hMT+ R	-0.31586477549576525	-2.842600144057313	-2.819147368951274
sub-03	1000	UA	V1 L	-0.20653316437969899	-1.3366859619310882	-1.3324915899692318
sub-03	1000	UA	V1 R	-0.09171100690750938	-1.1179916067503415	-1.1122707325907597
sub-03	2500	UA	hMT+ L	0.015577505151341379	0.19390885971746638	0.192893701806193
sub-03	2500	UA	hMT+ R	-0.3081855323315007	-1.9779507053994023	-1.9458093976905957
sub-03	2500	UA	V1 L	0.0701906042507233	0.04572800720205479	0.04515896679382918
sub-03	2500	UA	V1 R	-0.02944549466348455	-0.14861638431043495	-0.1475944180205252
sub-05	0500	UA	hMT+ L	0.23036909131138913	1.5056409153814618	1.5037426957826607
sub-05	0500	UA	hMT+ R	0.3915178370726469	2.225450153506378	2.220541095977263
sub-05	0500	UA	V1 L	0.5467024465103995	2.428098019858104	2.4218542412629662
sub-05	0500	UA	V1 R	0.30872490515161477	1.7158356479594081	1.713326410027069
sub-05	0750	UA	hMT+ L	0.18891608120038136	1.1011081393110966	1.098766130957576
sub-05	0750	UA	hMT+ R	0.1707278283804572	0.9399080680610994	0.9383421962395053
sub-05	0750	UA	V1 L	0.3831915264554509	2.1600743586562206	2.153040942524436
sub-05	0750	UA	V1 R	0.4033023441363531	2.5140409050759107	2.504075867267307
sub-05	1000	UA	hMT+ L	-0.19438658207125306	-1.329576741429014	-1.325877191230497
sub-05	1000	UA	hMT+ R	-0.20454597591544496	-1.1007677926523765	-1.0987329658599436
sub-05	1000	UA	V1 L	-0.14243398678714253	-0.5114210939133458	-0.5107150930970926
sub-05	1000	UA	V1 R	-0.11619153928580145	-0.676690742290645	-0.6757193385573484
sub-05	2500	UA	hMT+ L	-0.018135504549706714	-0.18159653005291856	-0.180487460345066
sub-05	2500	UA	hMT+ R	0.09556200494900977	0.6142832076082653	0.612038949606065
sub-05	2500	UA	V1 L	0.1934008238790782	0.8812054984005495	0.8769164994219137
sub-05	2500	UA	V1 R	0.13429977717292094	0.7373768672459182	0.733896770629756
sub-06	0500	UA	hMT+ L	0.1441883594371274	1.1513379819658816	1.1499446751031699
sub-06	0500	UA	hMT+ R	0.1427020382707977	1.3179909741564213	1.3166174038212444
sub-06	0500	UA	V1 L	-0.017884848874819233	-0.016961218030365002	-0.01696754209574326
sub-06	0500	UA	V1 R	0.12266712516730033	1.1111676264308727	1.1100768446599494
sub-06	0750	UA	hMT+ L	-0.15004357978448185	-0.7864019951789075	-0.7855240086488077
sub-06	0750	UA	hMT+ R	-0.13801645317095945	-0.8793876385802469	-0.8782165531393964
sub-06	0750	UA	V1 L	-0.2817980928972069	-1.3084733066920988	-1.3060647277990138
sub-06	0750	UA	V1 R	-0.15085796174694563	-0.9803806908709284	-0.9790986163814646
sub-06	1000	UA	hMT+ L	-0.0521439528420269	-0.3352315435843921	-0.3342582843168682
sub-06	1000	UA	hMT+ R	-0.154348732822453	-1.022904255924673	-1.020986699280756
sub-06	1000	UA	V1 L	-0.5547704162227478	-2.4799201110746294	-2.465099121468379
sub-06	1000	UA	V1 R	-0.37736484250016394	-2.1977612678279073	-2.187759227733822
sub-06	2500	UA	hMT+ L	-0.2539909589508104	-1.1825892805501388	-1.175721038194124
sub-06	2500	UA	hMT+ R	-0.33707842120711706	-2.0914912100452225	-2.0628829699934226
sub-06	2500	UA	V1 L	-0.6105349977696293	-2.843485731888831	-2.7902519343523378
sub-06	2500	UA	V1 R	-0.38128717134061313	-2.0919709033512643	-2.068402123988227
sub-07	0500	UA	hMT+ L	-0.39396599422364054	-2.5200213984483915	-2.51279851766045
sub-07	0500	UA	hMT+ R	-0.16617510000021446	-1.3346240687533641	-1.3324486043170474
sub-07	0500	UA	V1 L	0.015441308627002884	0.043012145546288315	0.04308086600894734
sub-07	0500	UA	V1 R	-0.08550848396895286	-1.036790772121011	-1.0354077395555707
sub-07	0750	UA	hMT+ L	-0.20920716473042103	-1.1336776113200897	-1.1311420456711483
sub-07	0750	UA	hMT+ R	-0.02719822958467023	0.07032395999660805	0.06991785581204826
sub-07	0750	UA	V1 L	0.14042367743076112	1.302896860023142	1.3001393851976228
sub-07	0750	UA	V1 R	-0.04844431571610286	-0.7996293829592472	-0.7975801208637437
sub-07	1000	UA	hMT+ L	-0.37017946673985813	-1.4073360731430886	-1.4016733451699799
sub-07	1000	UA	hMT+ R	-0.3512433835298619	-1.76828727998822	-1.757585207505652
sub-07	1000	UA	V1 L	0.11015891707599627	0.5788497532514889	0.5782195692043512
sub-07	1000	UA	V1 R	-0.018930577468450588	-0.256138566685705	-0.2555334108145175
sub-07	2500	UA	hMT+ L	-0.26856514982247176	-0.8964729472339997	-0.8848139515109492
sub-07	2500	UA	hMT+ R	-0.17557241345548477	-0.9214076765201001	-0.9171510449143636
sub-07	2500	UA	V1 L	0.06753416258448597	0.431989140637467	0.4290305167521398
sub-07	2500	UA	V1 R	-0.03705081910080249	-0.24543580350343663	-0.2448092245255169
sub-08	0500	UA	hMT+ L	-0.17628009432430428	-1.0798374917082176	-1.078275814472391
sub-08	0500	UA	hMT+ R	-0.2835547848125917	-1.6442589189688666	-1.6414357312069436
sub-08	0500	UA	V1 L	-0.21101611397868703	-1.1279694631358774	-1.1257707000059702
sub-08	0500	UA	V1 R	0.02145762097809085	0.2733411302864096	0.27301105042895696
sub-08	0750	UA	hMT+ L	-0.23297047470223153	-1.5543170298556883	-1.548834658447486
sub-08	0750	UA	hMT+ R	-0.33319888359447286	-2.204540561933029	-2.195699089600173
sub-08	0750	UA	V1 L	-0.1666775042160316	-0.9483018671526788	-0.9462790828821844
sub-08	0750	UA	V1 R	-0.08109246250125904	-0.6976886098871997	-0.6954497740259789
sub-08	1000	UA	hMT+ L	-0.6118394146023219	-4.278108374915179	-4.212549486507155
sub-08	1000	UA	hMT+ R	-0.9354978149377442	-5.732536052860973	-5.581112739643067
sub-08	1000	UA	V1 L	-0.7621424625122079	-4.206390687873076	-4.141425849915632
sub-08	1000	UA	V1 R	-0.5301269373175037	-4.142130441232243	-4.080222056946754
sub-08	2500	UA	hMT+ L	-0.4656647603190844	-2.2016749613651947	-2.1653929901116302
sub-08	2500	UA	hMT+ R	-0.578575397364293	-2.822791404194934	-2.757783545875018
sub-08	2500	UA	V1 L	-1.0611608341424648	-3.0075551200486488	-2.945049145225354
sub-08	2500	UA	V1 R	-0.5395656550253897	-2.5303480729739194	-2.4884077193646266
sub-10	0500	UA	hMT+ L	0.22578343978820933	1.1927517219281039	1.1914793621411566
sub-10	0500	UA	hMT+ R	-0.06947264460961862	-0.39652928120353265	-0.39632297933368715
sub-10	0500	UA	V1 L	0.06383266720395483	0.3409213616437121	0.34073661128621946
sub-10	0500	UA	V1 R	-0.11509971409039765	-0.7662388537390293	-0.7655891500196838
sub-10	0750	UA	hMT+ L	0.181583805876649	1.131767554272685	1.1296761340011323
sub-10	0750	UA	hMT+ R	0.16213266463400317	0.9705283599273485	0.9682390114168409
sub-10	0750	UA	V1 L	0.060277496816020994	0.28013925216206853	0.27976178569693533
sub-10	0750	UA	V1 R	-0.13507015479198944	-0.8436354885467366	-0.842752612231538
sub-10	1000	UA	hMT+ L	0.39324118864406526	2.39510626788016	2.382625012300255
sub-10	1000	UA	hMT+ R	-0.05849894259502269	-0.05162471619732522	-0.052116435866860766
sub-10	1000	UA	V1 L	0.16348591194629952	1.0540853522297844	1.0512809003567
sub-10	1000	UA	V1 R	-0.15213049099681702	-0.8442440436142971	-0.8417727915873388
sub-10	2500	UA	hMT+ L	-0.011843397705978018	-0.12373042965623068	-0.1227838277725867
sub-10	2500	UA	hMT+ R	-0.01869092937298391	0.148943738922023	0.14749835126125263
sub-10	2500	UA	V1 L	-0.24336903594484283	-1.1918753553057846	-1.1837776213667972
sub-10	2500	UA	V1 R	-0.4541504381408984	-2.263072525582852	-2.2296777413813365
sub-11	0500	UA	hMT+ L	0.07850170072202835	0.3353781650934785	0.3350694756286159
sub-11	0500	UA	hMT+ R	-0.23294736727851878	-0.5496833661027277	-0.5491305094765649
sub-11	0500	UA	V1 L	-0.41988323684258666	-2.0948126975025745	-2.0898797577418744
sub-11	0500	UA	V1 R	-0.5421493459505391	-2.617190468943024	-2.609406352425502
sub-11	0750	UA	hMT+ L	-0.4313110202257292	-4.763100684000069	-4.699197989363668
sub-11	0750	UA	hMT+ R	-0.6189521538181975	-5.099210386383845	-5.0241698368944325
sub-11	0750	UA	V1 L	-0.12708006603729133	-2.0303746299688012	-2.0204811110298446
sub-11	0750	UA	V1 R	-0.2688945559639255	-3.271109211483912	-3.2448536675109922
sub-11	1000	UA	hMT+ L	-0.2141711732327333	-2.420655709261245	-2.4033000649556753
sub-11	1000	UA	hMT+ R	-0.4021351892517169	-3.8642823077667323	-3.814478704150327
sub-11	1000	UA	V1 L	-0.039613928642253146	-0.7924850856287461	-0.7899928633644797
sub-11	1000	UA	V1 R	-0.07315239936091658	-1.073797915409571	-1.0692694974133428
sub-11	2500	UA	hMT+ L			
sub-11	2500	UA	hMT+ R			
sub-11	2500	UA	V1 L			
sub-11	2500	UA	V1 R			
sub-12	0500	UA	hMT+ L	-0.27285052533804244	-1.705293630025115	-1.7026523037949695
sub-12	0500	UA	hMT+ R	-0.1828628161427954	-1.4681328629489452	-1.4663240379516347
sub-12	0500	UA	V1 L	-0.1277649108850537	-0.9845913521949433	-0.9836354421680178
sub-12	0500	UA	V1 R	0.05882599937918617	0.2923383451514484	0.2921672562097738
sub-12	0750	UA	hMT+ L	-0.3191808604828334	-2.0580913481945005	-2.052248178974656
sub-12	0750	UA	hMT+ R	-0.414481898917008	-3.1875272885875217	-3.1680834749374225
sub-12	0750	UA	V1 L	-0.3388065023533552	-2.1734352640371863	-2.1663438289544907
